Timestamp,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base,Taker_buy_quote,Ignore
1711929600000,3645.29000000,3645.95000000,3600.74000000,3610.42000000,37328.63890000,1711943999999,135038712.47536700,113285,18676.53760000,67551481.61057600,0
1711944000000,3610.41000000,3613.30000000,3500.00000000,3546.88000000,98690.71130000,1711958399999,349839943.94359600,242539,46430.60960000,164572795.25163500,0
1711958400000,3546.88000000,3560.17000000,3520.07000000,3537.98000000,44636.92810000,1711972799999,157986625.84334900,140112,21269.75240000,75282867.90037000,0
1711972800000,3537.98000000,3570.58000000,3437.23000000,3444.04000000,112748.13200000,1711987199999,395046782.43985600,276437,53370.87560000,187127106.44814900,0
1711987200000,3444.04000000,3489.18000000,3413.71000000,3486.33000000,78478.21830000,1712001599999,270573535.15000200,220579,36831.43790000,127005600.27682900,0
1712001600000,3486.33000000,3514.88000000,3471.32000000,3503.80000000,36971.49390000,1712015999999,129206129.18014400,122181,18819.04850000,65770372.28790800,0
1712016000000,3503.80000000,3505.60000000,3319.20000000,3366.08000000,124255.73760000,1712030399999,422024609.85157900,311111,55801.04660000,189468446.81493300,0
1712030400000,3366.07000000,3388.58000000,3337.25000000,3362.90000000,67274.46960000,1712044799999,226498766.11067700,196036,33457.00910000,112659644.61400000,0
1712044800000,3362.89000000,3371.62000000,3276.72000000,3308.64000000,126538.58120000,1712059199999,420688039.49101100,308417,62999.73620000,209529757.98609000,0
1712059200000,3308.63000000,3324.26000000,3232.00000000,3240.13000000,151372.61830000,1712073599999,496983011.81294400,340439,77980.09200000,256076958.52481800,0
1712073600000,3240.13000000,3284.46000000,3212.00000000,3277.53000000,93534.04620000,1712087999999,304339809.37793400,259466,43551.57210000,141760862.07785500,0
1712088000000,3277.53000000,3305.00000000,3241.69000000,3278.96000000,60289.19470000,1712102399999,197470219.41867800,165939,27867.16920000,91281713.25955300,0
1712102400000,3278.96000000,3324.19000000,3202.79000000,3315.41000000,93189.22950000,1712116799999,304990506.49168400,241946,45570.67370000,149179818.45981800,0
1712116800000,3315.40000000,3324.60000000,3280.00000000,3305.53000000,49447.12770000,1712131199999,163521646.02312100,155412,22789.10420000,75368004.55611500,0
1712131200000,3305.52000000,3357.58000000,3289.97000000,3317.53000000,73863.31340000,1712145599999,245654674.53140800,210424,36086.87640000,120035641.59833800,0
1712145600000,3317.53000000,3363.58000000,3292.80000000,3329.20000000,73373.41200000,1712159999999,244499611.41026000,187155,38919.60180000,129704243.50815100,0
1712160000000,3329.21000000,3367.40000000,3281.21000000,3314.29000000,64897.71380000,1712174399999,215916794.80786300,177641,31496.12560000,104825327.27766600,0
1712174400000,3314.28000000,3325.64000000,3288.39000000,3310.83000000,55713.39690000,1712188799999,184410371.53427900,141066,28222.76620000,93399652.67071900,0
1712188800000,3310.83000000,3333.00000000,3262.86000000,3274.37000000,55991.17050000,1712203199999,184378108.10012200,151113,24630.08700000,81127265.30553200,0
1712203200000,3274.38000000,3334.46000000,3250.92000000,3322.79000000,55871.58530000,1712217599999,183780065.60841100,124922,27718.75250000,91185617.49981200,0
1712217600000,3322.80000000,3355.48000000,3319.42000000,3340.37000000,32050.76490000,1712231999999,106982325.80284800,113027,14883.32480000,49682351.04210000,0
1712232000000,3340.36000000,3395.19000000,3338.95000000,3364.12000000,59348.01280000,1712246399999,199920943.34198100,184552,28526.88340000,96084275.10565200,0
1712246400000,3364.11000000,3443.93000000,3360.68000000,3366.09000000,66511.99100000,1712260799999,225719295.07216500,192720,34053.20570000,115612039.23429400,0
1712260800000,3366.09000000,3370.30000000,3278.02000000,3327.40000000,86565.04710000,1712275199999,287011551.28884400,199361,42662.10320000,141450690.23988000,0
1712275200000,3327.39000000,3336.00000000,3252.80000000,3308.30000000,64808.12150000,1712289599999,213503546.57518300,156460,31291.27910000,103088289.15464300,0
1712289600000,3308.30000000,3319.25000000,3242.01000000,3287.61000000,53002.59260000,1712303999999,173812805.87700900,137489,26840.36510000,88033999.99165600,0
1712304000000,3287.60000000,3312.80000000,3236.80000000,3243.51000000,60815.66680000,1712318399999,199053223.89823400,162904,28986.19650000,94916636.86898500,0
1712318400000,3243.52000000,3329.54000000,3210.00000000,3326.43000000,104716.22050000,1712332799999,342375920.76647500,229912,51597.34840000,168800428.54888400,0
1712332800000,3326.43000000,3350.00000000,3305.10000000,3320.10000000,42565.96590000,1712347199999,141457309.82219700,109118,21767.83220000,72356311.26687500,0
1712347200000,3320.11000000,3344.95000000,3310.46000000,3317.85000000,18648.23100000,1712361599999,62049688.95002600,58256,9952.75530000,33121957.88608300,0
1712361600000,3317.85000000,3346.39000000,3306.68000000,3331.34000000,28664.53420000,1712375999999,95327328.62937500,73641,15329.13720000,50984726.96222700,0
1712376000000,3331.33000000,3352.81000000,3321.13000000,3330.39000000,26715.03740000,1712390399999,89148515.05569700,75702,14516.20710000,48447183.13223400,0
1712390400000,3330.40000000,3351.52000000,3325.00000000,3330.67000000,26159.63120000,1712404799999,87300734.39445900,74172,11507.31470000,38406262.16584900,0
1712404800000,3330.67000000,3361.77000000,3313.40000000,3335.37000000,30009.25420000,1712419199999,100022126.28323200,86693,13511.06260000,45039641.95831000,0
1712419200000,3335.37000000,3357.54000000,3331.22000000,3349.24000000,25061.75820000,1712433599999,83791020.72230500,90319,12607.19910000,42150365.64866000,0
1712433600000,3349.23000000,3398.42000000,3344.00000000,3351.59000000,46701.99730000,1712447999999,157091764.06388600,149458,20948.17730000,70483338.95217200,0
1712448000000,3351.59000000,3413.61000000,3344.08000000,3388.41000000,40788.41570000,1712462399999,137999415.03420500,156015,20213.60750000,68385718.57911100,0
1712462400000,3388.40000000,3406.51000000,3374.60000000,3385.19000000,20136.98280000,1712476799999,68242889.09959400,87449,9730.77840000,32983523.64427000,0
1712476800000,3385.19000000,3395.19000000,3376.83000000,3390.34000000,21075.86180000,1712491199999,71409238.83666800,81509,9912.18930000,33588169.92947300,0
1712491200000,3390.33000000,3420.00000000,3384.71000000,3390.13000000,40776.21290000,1712505599999,138704702.36783000,141545,20294.52960000,69041867.86860400,0
1712505600000,3390.14000000,3412.97000000,3368.00000000,3381.39000000,37069.93640000,1712519999999,125637720.19290900,137728,17086.48610000,57924776.33979800,0
1712520000000,3381.38000000,3459.94000000,3378.15000000,3454.20000000,50611.66560000,1712534399999,173180145.04262900,144284,28499.06390000,97499444.36848400,0
1712534400000,3454.20000000,3457.27000000,3406.36000000,3423.00000000,33564.12780000,1712548799999,115091932.80561700,127187,16365.46880000,56121471.43823900,0
1712548800000,3422.99000000,3478.34000000,3413.22000000,3473.88000000,52807.52000000,1712563199999,181923797.91498400,154365,33984.82570000,117069489.88023800,0
1712563200000,3473.88000000,3640.44000000,3469.80000000,3633.08000000,175678.66840000,1712577599999,630318360.82166000,470499,103462.98410000,371145084.66295100,0
1712577600000,3633.07000000,3672.11000000,3612.00000000,3629.20000000,115824.04140000,1712591999999,421784096.59570700,293497,62193.45280000,226513493.70041400,0
1712592000000,3629.20000000,3710.45000000,3627.16000000,3702.80000000,76989.11360000,1712606399999,282792892.46698200,180805,42090.78330000,154634772.05772600,0
1712606400000,3702.80000000,3730.71000000,3681.06000000,3694.61000000,41977.88200000,1712620799999,155329520.20370700,107025,20816.50860000,77036194.95969500,0
1712620800000,3694.61000000,3727.34000000,3665.25000000,3692.29000000,60917.22090000,1712635199999,225162092.76003100,156042,32047.14710000,118463147.47466500,0
1712635200000,3692.30000000,3701.94000000,3631.00000000,3641.81000000,78663.03040000,1712649599999,288099609.30751200,191938,34329.77830000,125799575.19899000,0
1712649600000,3641.81000000,3646.60000000,3580.57000000,3632.85000000,83751.22590000,1712663999999,303033539.51019600,173376,38750.87890000,140216084.41352000,0
1712664000000,3632.85000000,3643.37000000,3478.50000000,3529.92000000,129101.65950000,1712678399999,459125867.47044700,284827,62019.71390000,220505424.19021300,0
1712678400000,3529.93000000,3532.96000000,3450.46000000,3517.10000000,65691.72430000,1712692799999,229784842.23295700,149127,33084.90730000,115727486.53486000,0
1712692800000,3517.10000000,3526.63000000,3485.82000000,3506.39000000,39467.39100000,1712707199999,138404900.46977700,91169,20314.66380000,71237378.54742900,0
1712707200000,3506.40000000,3537.50000000,3465.64000000,3513.00000000,59002.79200000,1712721599999,206357868.91432400,148260,29224.74900000,102240923.41033500,0
1712721600000,3513.01000000,3554.19000000,3505.98000000,3536.61000000,36766.05140000,1712735999999,129860660.97605700,94457,20126.37020000,71094382.63864700,0
1712736000000,3536.61000000,3540.36000000,3493.07000000,3521.32000000,54638.81760000,1712750399999,192046608.78428400,141185,24621.23290000,86554153.15174000,0
1712750400000,3521.33000000,3527.99000000,3411.82000000,3479.41000000,128853.46870000,1712764799999,445851309.84469700,265251,62280.30390000,215521043.15857600,0
1712764800000,3479.41000000,3547.49000000,3469.50000000,3521.52000000,73130.50150000,1712779199999,256573900.90280600,173889,37062.05350000,130014452.54840000,0
1712779200000,3521.52000000,3562.95000000,3495.58000000,3545.64000000,37013.27430000,1712793599999,130710846.00961700,92915,19332.33450000,68280583.87057100,0
1712793600000,3545.64000000,3576.60000000,3524.27000000,3575.84000000,36473.64110000,1712807999999,129479694.13657700,98978,19177.15070000,68101874.44388100,0
1712808000000,3575.84000000,3605.76000000,3553.03000000,3583.40000000,48719.21760000,1712822399999,174203612.02846400,126831,23479.64000000,83963325.93469300,0
1712822400000,3583.40000000,3618.30000000,3514.57000000,3522.88000000,69106.22640000,1712836799999,247255401.03437600,197013,31476.26730000,112655883.39179200,0
1712836800000,3522.89000000,3575.00000000,3486.31000000,3508.32000000,108947.76020000,1712851199999,384089648.90933700,259838,53340.49300000,188143944.30519600,0
1712851200000,3508.31000000,3522.00000000,3474.52000000,3517.70000000,45872.86070000,1712865599999,160758499.21646700,118981,23205.12720000,81331312.82229900,0
1712865600000,3517.71000000,3532.25000000,3490.63000000,3502.52000000,29019.84740000,1712879999999,101867239.12098600,88466,15162.16540000,53231476.41442800,0
1712880000000,3502.52000000,3537.93000000,3501.34000000,3534.01000000,31946.19880000,1712894399999,112465854.95472400,94416,16301.80180000,57392392.47141200,0
1712894400000,3534.01000000,3552.40000000,3507.95000000,3516.20000000,36378.20000000,1712908799999,128496137.63443200,99851,19516.26680000,68936366.64094300,0
1712908800000,3516.20000000,3541.78000000,3508.95000000,3532.22000000,57646.75870000,1712923199999,203061187.46556000,164453,31939.57500000,112498262.44932200,0
1712923200000,3532.22000000,3532.48000000,3439.23000000,3440.71000000,93086.59970000,1712937599999,323440669.50328900,211465,42623.81830000,148069640.41081500,0
1712937600000,3440.70000000,3454.56000000,3100.00000000,3206.17000000,368390.23850000,1712951999999,1206261772.21775700,637798,170356.78880000,557797313.75291200,0
1712952000000,3206.17000000,3256.00000000,3201.07000000,3237.43000000,109879.12170000,1712966399999,354471555.64473300,215617,49757.06420000,160494390.26145400,0
1712966400000,3237.42000000,3237.43000000,3141.60000000,3230.91000000,129141.30320000,1712980799999,413089130.31342500,243667,57145.46280000,182774791.42054700,0
1712980800000,3230.91000000,3272.31000000,3223.38000000,3257.60000000,71583.82930000,1712995199999,232767217.50414200,160625,35151.67910000,114293318.64338400,0
1712995200000,3257.61000000,3301.90000000,3247.40000000,3268.20000000,49728.80160000,1713009599999,162534644.70343100,152379,24097.96310000,78756123.26525600,0
1713009600000,3268.20000000,3296.83000000,3250.70000000,3272.39000000,51783.91860000,1713023999999,169481171.40311800,141819,22664.08580000,74182378.84525700,0
