"Date(UTC)","Value"
"5/6/2025 2:36:00 AM","79751"
"5/6/2025 2:37:00 AM","79792"
"5/6/2025 2:38:00 AM","79796"
"5/6/2025 2:39:00 AM","79768"
"5/6/2025 2:40:00 AM","79810"
"5/6/2025 2:41:00 AM","79770"
"5/6/2025 2:42:00 AM","79758"
"5/6/2025 2:43:00 AM","79732"
"5/6/2025 2:44:00 AM","79752"
"5/6/2025 2:45:00 AM","79769"
"5/6/2025 2:46:00 AM","79753"
"5/6/2025 2:47:00 AM","79760"
"5/6/2025 2:48:00 AM","80157"
"5/6/2025 2:49:00 AM","79990"
"5/6/2025 2:50:00 AM","79951"
"5/6/2025 2:51:00 AM","79944"
"5/6/2025 2:52:00 AM","79970"
"5/6/2025 2:53:00 AM","79849"
"5/6/2025 2:54:00 AM","79848"
"5/6/2025 2:55:00 AM","79866"
"5/6/2025 2:56:00 AM","79829"
"5/6/2025 2:57:00 AM","79848"
"5/6/2025 2:58:00 AM","79867"
"5/6/2025 2:59:00 AM","79933"
"5/6/2025 3:00:00 AM","79853"
"5/6/2025 3:01:00 AM","79852"
"5/6/2025 3:02:00 AM","79854"
"5/6/2025 3:03:00 AM","79867"
"5/6/2025 3:04:00 AM","79826"
"5/6/2025 3:05:00 AM","79855"
"5/6/2025 3:06:00 AM","79940"
"5/6/2025 3:07:00 AM","79843"
"5/6/2025 3:08:00 AM","79857"
"5/6/2025 3:09:00 AM","79864"
"5/6/2025 3:10:00 AM","79883"
"5/6/2025 3:11:00 AM","79864"
"5/6/2025 3:12:00 AM","79932"
"5/6/2025 3:13:00 AM","79832"
"5/6/2025 3:14:00 AM","79815"
"5/6/2025 3:15:00 AM","79889"
"5/6/2025 3:16:00 AM","79859"
"5/6/2025 3:17:00 AM","79848"
"5/6/2025 3:18:00 AM","79884"
"5/6/2025 3:19:00 AM","79928"
"5/6/2025 3:20:00 AM","79905"
"5/6/2025 3:21:00 AM","79915"
"5/6/2025 3:22:00 AM","79914"
"5/6/2025 3:23:00 AM","79890"
"5/6/2025 3:24:00 AM","79899"
"5/6/2025 3:25:00 AM","79912"
"5/6/2025 3:26:00 AM","79879"
"5/6/2025 3:27:00 AM","80005"
"5/6/2025 3:28:00 AM","79888"
"5/6/2025 3:29:00 AM","79927"
"5/6/2025 3:30:00 AM","79914"
"5/6/2025 3:31:00 AM","79942"
"5/6/2025 3:32:00 AM","79914"
"5/6/2025 3:33:00 AM","79915"
"5/6/2025 3:34:00 AM","79883"
"5/6/2025 3:35:00 AM","79940"
"5/6/2025 3:36:00 AM","79937"
"5/6/2025 3:37:00 AM","79924"
"5/6/2025 3:38:00 AM","79899"
"5/6/2025 3:39:00 AM","79874"
"5/6/2025 3:40:00 AM","79899"
"5/6/2025 3:41:00 AM","79872"
"5/6/2025 3:42:00 AM","79924"
"5/6/2025 3:43:00 AM","79883"
"5/6/2025 3:44:00 AM","79901"
"5/6/2025 3:45:00 AM","79906"
"5/6/2025 3:46:00 AM","79886"
"5/6/2025 3:47:00 AM","79895"
"5/6/2025 3:48:00 AM","79919"
"5/6/2025 3:49:00 AM","79923"
"5/6/2025 3:50:00 AM","79895"
"5/6/2025 3:51:00 AM","79886"
"5/6/2025 3:52:00 AM","79898"
"5/6/2025 3:53:00 AM","79882"
"5/6/2025 3:54:00 AM","79911"
