Timestamp,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base,Taker_buy_quote,Ignore
1735689600000,189.31000000,192.66000000,189.08000000,190.43000000,300383.87900000,1735703999999,57398615.66134000,136324,164052.92800000,31346373.37427000,0
1735704000000,190.42000000,190.62000000,189.32000000,190.06000000,200370.13800000,1735718399999,38057595.36962000,91417,117153.19300000,22249922.92988000,0
1735718400000,190.06000000,191.86000000,188.00000000,191.36000000,282560.94200000,1735732799999,53644575.44455000,136321,153795.86500000,29216844.57573000,0
1735732800000,191.35000000,192.15000000,189.14000000,191.91000000,303578.95900000,1735747199999,57896196.04260000,161994,152394.66100000,29068503.37796000,0
1735747200000,191.91000000,193.91000000,189.25000000,193.10000000,292988.47200000,1735761599999,56082427.83940000,184702,137448.12000000,26315212.89075000,0
1735761600000,193.10000000,195.33000000,193.10000000,194.28000000,275277.71200000,1735775999999,53479021.34948000,154266,132737.03400000,25788042.20972000,0
1735776000000,194.28000000,199.70000000,193.43000000,198.54000000,596298.24000000,1735790399999,117780185.72937000,262817,310167.76600000,61262233.70631000,0
1735790400000,198.55000000,206.89000000,198.54000000,205.91000000,818936.96500000,1735804799999,167175465.47880000,306211,454043.25600000,92630638.72493000,0
1735804800000,205.91000000,208.88000000,205.66000000,208.51000000,492598.55500000,1735819199999,102023055.52721000,209531,262373.92700000,54350786.32418000,0
1735819200000,208.52000000,210.48000000,205.45000000,206.77000000,692607.42500000,1735833599999,144033445.88986000,432941,372289.13700000,77455273.86886000,0
1735833600000,206.77000000,209.07000000,204.67000000,206.69000000,397816.10600000,1735847999999,82263373.13959000,236316,199322.37600000,41238574.09521000,0
1735848000000,206.69000000,208.44000000,205.20000000,208.31000000,226666.69100000,1735862399999,46894886.83417000,167539,120824.86800000,25000618.48305000,0
1735862400000,208.30000000,208.45000000,205.63000000,208.05000000,285439.78900000,1735876799999,59102303.34890000,153940,155075.85000000,32121501.81920000,0
1735876800000,208.05000000,210.00000000,207.09000000,207.95000000,385288.93500000,1735891199999,80333062.92618000,191906,197462.09600000,41178458.87433000,0
1735891200000,207.95000000,215.18000000,207.60000000,214.51000000,785327.58400000,1735905599999,166316613.98103000,273285,416371.14800000,88110268.18889000,0
1735905600000,214.52000000,218.70000000,212.09000000,217.36000000,855675.83400000,1735919999999,184322726.60492000,387886,425869.10200000,91749352.00466000,0
1735920000000,217.37000000,219.83000000,216.46000000,217.10000000,608719.34300000,1735934399999,132625810.48224000,251193,316167.97400000,68894428.55379000,0
1735934400000,217.10000000,218.04000000,215.81000000,217.99000000,330635.07100000,1735948799999,71670018.67909000,136027,185013.38400000,40105951.33688000,0
1735948800000,218.00000000,218.18000000,215.67000000,216.97000000,409005.05000000,1735963199999,88711191.22193000,208053,219962.76000000,47700914.76413000,0
1735963200000,216.97000000,217.96000000,215.58000000,216.71000000,300841.33700000,1735977599999,65253660.84385000,123827,165337.83300000,35867174.37500000,0
1735977600000,216.70000000,216.73000000,214.40000000,216.45000000,307779.92500000,1735991999999,66401398.01218000,128332,159273.82500000,34367183.10908000,0
1735992000000,216.46000000,217.66000000,213.54000000,214.32000000,517489.08200000,1736006399999,111733495.33568000,203948,226508.88700000,48913834.00787000,0
1736006400000,214.31000000,215.96000000,213.73000000,215.58000000,213635.31300000,1736020799999,45930339.31610000,126869,102897.56400000,22118848.60626000,0
1736020800000,215.58000000,217.27000000,215.41000000,216.67000000,194960.68300000,1736035199999,42170242.21269000,99220,101978.97400000,22059525.35216000,0
1736035200000,216.67000000,218.99000000,215.27000000,217.96000000,446040.44500000,1736049599999,96804546.92282000,201438,251600.87400000,54629496.28299000,0
1736049600000,217.96000000,219.05000000,215.97000000,216.47000000,299171.90100000,1736063999999,65032734.88383000,129783,153805.02400000,33449236.38288000,0
1736064000000,216.47000000,216.57000000,212.91000000,213.93000000,332411.75500000,1736078399999,71227136.87873000,152977,146164.41600000,31319092.20608000,0
1736078400000,213.94000000,214.61000000,211.61000000,213.59000000,528394.80100000,1736092799999,112580130.98773000,189041,185167.78000000,39462554.98778000,0
1736092800000,213.58000000,214.29000000,211.46000000,212.79000000,293290.11600000,1736107199999,62396705.85633000,130996,146871.44300000,31248559.75225000,0
1736107200000,212.79000000,214.54000000,212.54000000,213.41000000,201731.52700000,1736121599999,43089439.04720000,97940,105242.70400000,22480865.43228000,0
1736121600000,213.41000000,216.99000000,211.56000000,215.61000000,407522.33100000,1736135999999,87455064.50764000,313535,208428.76000000,44732150.18104000,0
1736136000000,215.61000000,216.90000000,213.90000000,215.22000000,357605.37200000,1736150399999,77011170.01283000,185565,157839.34600000,33997725.91502000,0
1736150400000,215.22000000,216.27000000,213.23000000,216.26000000,283782.47600000,1736164799999,60943354.58959000,136428,149485.62800000,32113430.94983000,0
1736164800000,216.26000000,222.14000000,215.77000000,221.62000000,920232.20800000,1736179199999,201865757.17988000,371149,495632.39400000,108733152.19043000,0
1736179200000,221.62000000,223.18000000,217.34000000,220.00000000,618459.48800000,1736193599999,136166137.34206000,260156,337035.56700000,74228008.35486000,0
1736193600000,220.00000000,220.44000000,217.55000000,218.22000000,267760.98300000,1736207999999,58486950.29215000,127623,136964.94100000,29910747.77794000,0
1736208000000,218.22000000,219.11000000,216.23000000,217.34000000,332023.17700000,1736222399999,72246126.48348000,170178,174584.96800000,37990136.69150000,0
1736222400000,217.35000000,217.45000000,215.49000000,216.04000000,267074.14400000,1736236799999,57776026.42189000,91214,147135.76000000,31822049.84583000,0
1736236800000,216.04000000,216.77000000,212.88000000,214.06000000,497502.63400000,1736251199999,106998803.72938000,145940,275667.16000000,59305164.47104000,0
1736251200000,214.07000000,214.36000000,205.36000000,207.76000000,1416679.79600000,1736265599999,297239929.20852000,466859,676616.67600000,142096269.25397000,0
1736265600000,207.76000000,209.09000000,203.52000000,204.56000000,746652.76200000,1736279999999,154111246.22556000,354768,375305.92100000,77509552.20328000,0
1736280000000,204.56000000,204.99000000,201.80000000,202.17000000,482365.77100000,1736294399999,98149381.81238000,246795,267259.94600000,54399134.90607000,0
1736294400000,202.17000000,203.28000000,196.71000000,198.67000000,811404.52200000,1736308799999,162609566.67839000,328587,389771.87800000,78122958.31064000,0
1736308800000,198.68000000,199.57000000,193.14000000,195.71000000,897448.31400000,1736323199999,176142860.03124000,330000,443348.98200000,87048148.33430000,0
1736323200000,195.71000000,198.00000000,194.45000000,195.50000000,644966.99800000,1736337599999,126965744.24873000,216086,384390.24200000,75716068.47757000,0
1736337600000,195.51000000,199.57000000,194.86000000,197.80000000,674808.36500000,1736351999999,133144133.58416000,382561,386476.73600000,76272000.80185000,0
1736352000000,197.80000000,197.97000000,188.34000000,194.32000000,1060441.48700000,1736366399999,204944818.03982000,570407,538546.55200000,104118299.74863000,0
1736366400000,194.31000000,198.30000000,193.67000000,197.48000000,357760.54400000,1736380799999,70106091.16579000,203501,196099.07900000,38427999.43524000,0
1736380800000,197.48000000,199.06000000,194.15000000,194.35000000,433836.76300000,1736395199999,85354438.76644000,231516,211552.81100000,41661366.48151000,0
1736395200000,194.35000000,195.55000000,189.76000000,190.11000000,482716.97900000,1736409599999,93021196.78037000,239138,235711.62900000,45469984.18255000,0
1736409600000,190.11000000,192.83000000,189.12000000,191.18000000,434027.69800000,1736423999999,82908380.47588000,239973,225707.63700000,43144004.26381000,0
1736424000000,191.17000000,193.07000000,185.07000000,192.22000000,993576.04100000,1736438399999,187441280.72715000,490092,504738.76500000,95271934.28142000,0
1736438400000,192.22000000,192.81000000,185.72000000,185.89000000,525562.21300000,1736452799999,99370539.56135000,388695,262262.78400000,49595795.48968000,0
1736452800000,185.90000000,187.59000000,182.00000000,184.95000000,737427.49900000,1736467199999,136249077.91309000,372270,361400.93200000,66778887.64853000,0
1736467200000,184.96000000,189.56000000,184.95000000,189.14000000,432214.29700000,1736481599999,81017815.71957000,272652,216515.48200000,40588164.84229000,0
1736481600000,189.14000000,193.02000000,188.38000000,191.78000000,516491.01300000,1736495999999,98385914.72970000,242260,246046.61100000,46882798.63776000,0
1736496000000,191.77000000,192.87000000,191.13000000,191.97000000,507468.75600000,1736510399999,97463114.19196000,200679,220496.10000000,42355114.30150000,0
1736510400000,191.98000000,192.18000000,183.51000000,187.28000000,1220525.02700000,1736524799999,228612655.13933000,573452,572027.97700000,107106754.45676000,0
1736524800000,187.28000000,192.07000000,183.85000000,190.22000000,675075.97700000,1736539199999,127139459.47671000,400864,343523.39200000,64652852.16567000,0
