Timestamp,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base,Taker_buy_quote,Ignore
1735689600000,2.08360000,2.11250000,2.08110000,2.11060000,8271344.00000000,1735693199999,17374141.59660000,33860,5160045.00000000,10841067.41790000,0
1735693200000,2.11060000,2.11120000,2.09290000,2.09430000,4301257.00000000,1735696799999,9040716.96520000,22246,2116499.00000000,4450890.19290000,0
1735696800000,2.09440000,2.10600000,2.09290000,2.10580000,3680119.00000000,1735700399999,7732289.56710000,17514,2200867.00000000,4625161.46010000,0
1735700400000,2.10570000,2.10870000,2.10030000,2.10690000,1788392.00000000,1735703999999,3763727.89860000,12375,953781.00000000,2007192.94170000,0
1735704000000,2.10690000,2.11310000,2.10030000,2.10270000,2890478.00000000,1735707599999,6086947.57780000,17188,1190500.00000000,2506851.50790000,0
1735707600000,2.10280000,2.14940000,2.09990000,2.13580000,10844247.00000000,1735711199999,23082408.64880000,45038,6212507.00000000,13225645.93170000,0
1735711200000,2.13580000,2.14740000,2.13030000,2.14390000,6898622.00000000,1735714799999,14754481.53110000,33099,3458466.00000000,7397621.00250000,0
1735714800000,2.14400000,2.14400000,2.12440000,2.12460000,4690301.00000000,1735718399999,10004707.21500000,22527,1609947.00000000,3435079.18180000,0
1735718400000,2.12460000,2.13500000,2.10810000,2.11030000,6392440.00000000,1735721999999,13551603.46660000,28240,2640419.00000000,5597116.67800000,0
1735722000000,2.11030000,2.11640000,2.09010000,2.10520000,9439821.00000000,1735725599999,19820610.55600000,40126,3944120.00000000,8285874.76720000,0
1735725600000,2.10530000,2.11840000,2.10530000,2.10900000,5102665.00000000,1735729199999,10774685.51790000,21523,3064654.00000000,6471504.25400000,0
1735729200000,2.10900000,2.14390000,2.10210000,2.13570000,8875657.00000000,1735732799999,18891600.51260000,42072,4799963.00000000,10213168.27170000,0
1735732800000,2.13580000,2.17370000,2.13120000,2.16790000,15511957.00000000,1735736399999,33443460.00790000,61748,8409400.00000000,18133100.11150000,0
1735736400000,2.16790000,2.18500000,2.15870000,2.16530000,14886067.00000000,1735739999999,32328680.88400000,63006,7192557.00000000,15631791.55430000,0
1735740000000,2.16530000,2.18550000,2.16050000,2.17400000,12290672.00000000,1735743599999,26730179.22720000,54613,7076106.00000000,15393311.99070000,0
1735743600000,2.17400000,2.23400000,2.16260000,2.22830000,22707165.00000000,1735747199999,50067887.04220000,91807,12014242.00000000,26494475.54100000,0
1735747200000,2.22830000,2.28420000,2.22190000,2.26350000,39073764.00000000,1735750799999,88310688.27390000,169615,19478249.00000000,44024839.52130000,0
1735750800000,2.26350000,2.26590000,2.21140000,2.25960000,28056973.00000000,1735754399999,62744341.52560000,106585,13952381.00000000,31211495.89200000,0
1735754400000,2.25960000,2.33330000,2.24820000,2.32200000,32004482.00000000,1735757999999,73540586.43100000,128301,16445527.00000000,37783250.71140000,0
1735758000000,2.32190000,2.34200000,2.28840000,2.31720000,34931200.00000000,1735761599999,80816584.92530000,125655,16768840.00000000,38825920.11910000,0
1735761600000,2.31720000,2.31960000,2.29570000,2.30680000,13445771.00000000,1735765199999,31014964.25330000,63573,6349425.00000000,14648772.69310000,0
1735765200000,2.30670000,2.33000000,2.28670000,2.32070000,21553733.00000000,1735768799999,49813277.89520000,76912,11304493.00000000,26134467.75580000,0
1735768800000,2.32050000,2.35450000,2.29820000,2.34930000,17779448.00000000,1735772399999,41370269.85310000,61330,8941495.00000000,20820774.03140000,0
1735772400000,2.34940000,2.35210000,2.31400000,2.33280000,15353699.00000000,1735775999999,35773218.94310000,64570,7445653.00000000,17345814.01190000,0
1735776000000,2.33290000,2.45220000,2.32970000,2.38870000,67760691.00000000,1735779599999,163310083.12980000,254632,34946819.00000000,84197325.09240000,0
1735779600000,2.38870000,2.41190000,2.37070000,2.40080000,25466622.00000000,1735783199999,61007624.78290000,96641,11805552.00000000,28284657.00920000,0
1735783200000,2.40070000,2.41640000,2.38680000,2.40540000,17588435.00000000,1735786799999,42231041.40710000,65245,8183468.00000000,19653888.50340000,0
1735786800000,2.40530000,2.42990000,2.40010000,2.42490000,14477747.00000000,1735790399999,34976537.21770000,52989,7754323.00000000,18748396.45840000,0
1735790400000,2.42490000,2.42820000,2.39900000,2.40010000,14126612.00000000,1735793999999,34125954.72150000,62150,6660549.00000000,16089669.66810000,0
1735794000000,2.40010000,2.40190000,2.36580000,2.37250000,14665813.00000000,1735797599999,34974983.61690000,86162,6074842.00000000,14491708.61420000,0
1735797600000,2.37250000,2.38300000,2.34340000,2.35450000,22568926.00000000,1735801199999,53293950.71010000,95670,9033927.00000000,21339355.93310000,0
1735801200000,2.35460000,2.37420000,2.34800000,2.36720000,13298437.00000000,1735804799999,31416333.36650000,47745,7323189.00000000,17301010.17350000,0
1735804800000,2.36730000,2.38430000,2.36720000,2.37880000,10045447.00000000,1735808399999,23882383.74430000,44023,5512700.00000000,13106987.98900000,0
1735808400000,2.37880000,2.41010000,2.37700000,2.40050000,13144625.00000000,1735811999999,31514974.90270000,55056,7309700.00000000,17517590.89780000,0
1735812000000,2.40050000,2.40560000,2.38250000,2.39520000,12664547.00000000,1735815599999,30322809.02390000,49296,4903841.00000000,11746028.66450000,0
1735815600000,2.39520000,2.41680000,2.38740000,2.40350000,9867181.00000000,1735819199999,23708932.06190000,44266,5129967.00000000,12329714.92630000,0
1735819200000,2.40350000,2.42200000,2.39820000,2.40710000,7836398.00000000,1735822799999,18880936.20340000,44566,3928702.00000000,9468215.15380000,0
1735822800000,2.40720000,2.41430000,2.38570000,2.39110000,9475829.00000000,1735826399999,22734279.23340000,50746,4201916.00000000,10080741.53470000,0
1735826400000,2.39100000,2.42240000,2.36410000,2.40760000,22112733.00000000,1735829999999,52969215.94580000,112619,10990689.00000000,26334515.68720000,0
1735830000000,2.40750000,2.40930000,2.37860000,2.40420000,12083860.00000000,1735833599999,28917153.76140000,71677,5513880.00000000,13192701.06840000,0
1735833600000,2.40430000,2.42200000,2.39430000,2.41890000,11166184.00000000,1735837199999,26912383.19260000,54791,5809218.00000000,14004146.31070000,0
1735837200000,2.41900000,2.43800000,2.37560000,2.39600000,20951239.00000000,1735840799999,50477318.16130000,88499,10420446.00000000,25111010.26240000,0
1735840800000,2.39590000,2.41420000,2.38560000,2.40720000,6952318.00000000,1735844399999,16692235.64880000,42220,3951663.00000000,9487075.14450000,0
1735844400000,2.40710000,2.41500000,2.38770000,2.38780000,7235509.00000000,1735847999999,17373632.81780000,34790,3587992.00000000,8617290.51730000,0
1735848000000,2.38790000,2.39750000,2.36620000,2.38410000,9799033.00000000,1735851599999,23329634.35830000,43721,5060172.00000000,12051117.83420000,0
1735851600000,2.38410000,2.38800000,2.37280000,2.38650000,5035717.00000000,1735855199999,11990087.09100000,25567,2176870.00000000,5183011.24310000,0
1735855200000,2.38650000,2.41130000,2.38480000,2.40560000,7452327.00000000,1735858799999,17868796.17280000,29290,3541277.00000000,8490270.60750000,0
